name,type,latitude,longitude
CVS Pharmacy,pharmacy,27.9485379,-82.4585068
Miami Lakes Fire Station,fire_station,25.9240447,-80.308954
7-Eleven,fuel,27.9817608,-82.4528778
CVS Pharmacy,pharmacy,28.5461478,-81.2044555
Walgreens,pharmacy,28.5472987,-81.2046923
BP,fuel,28.5471874,-81.2056277
7-Eleven,fuel,28.5462636,-81.2031507
Chevron,fuel,28.566285,-81.2071559
Walgreens,pharmacy,28.5386526,-81.2769319
Mobil,fuel,28.5132568,-81.1533801
7-Eleven,fuel,28.4953279,-81.4357601
Mobil,fuel,28.5052025,-81.4581947
7-Eleven,fuel,28.5042356,-81.4582377
Speedway,fuel,28.5145396,-81.458562
Walmart,fuel,28.5143458,-81.4610293
South Florida State Hospital,hospital,26.002834,-80.2507295
Kindred Hospital - North Florida,hospital,29.9877882,-81.6824678
Douglas Gardens Hospital,hospital,25.8237323,-80.19296
Brooks Rehabilitation Hospital,hospital,30.2902563,-81.6011984
West Florida Community Care Center,hospital,30.6344247,-87.0423559
The Peninsula,social_facility,25.983398,-80.1942395
The Vines Hospital,hospital,29.155548,-82.1705238
Port Charlotte Rehabilitation Center,social_facility,26.999743,-82.0305573
CPC Beverly Hills,hospital,28.9097874,-82.4421641
Pinecrest Rehabilitation Hospital,hospital,26.4364686,-80.1282152
The Jerome Golden Center for Behavioral Health,hospital,26.754231,-80.0673117
Fair Oaks Pavilion,hospital,26.4363545,-80.1294114
Specialty Hospital Jacksonville,hospital,30.27148,-81.61587
The Friary of Lakeview,social_facility,30.39805,-87.03946
Okeechobee City Police Department,police,27.2434,-80.8291
Ten Broeck Hospital Jacksonville,hospital,30.2901371,-81.5973748
AdventHealth Cancer Institute,hospital,28.5753182,-81.3724209
Saint Catherine's Rehabilitation Hospital,hospital,25.889921,-80.177
Women’s Care Center,hospital,27.763758,-82.642103
Sunoco,fuel,27.9414652,-82.4682612
Marion County Fire-rescue Station Number 23,fire_station,28.9822035,-82.1198117
Levy County EMS Station Number 4,fire_station,29.3774701,-82.4484372
Weston South Station 55,fire_station,26.0697746,-80.3942373
Rockledge Rescue Station 45,fire_station,28.3342126,-80.7231129
Daytona Beach International Airport Station 17,fire_station,29.1783852,-81.057143
Cape Canaveral Rescue Station 60,fire_station,28.387499,-80.6044336
Miami Beach - Beach Patrol Ocean Rescue,fire_station,25.7802585,-80.1301581
Melbourne Rescue Station 67 and 68,fire_station,28.1075052,-80.6277418
Bonita Springs Fire Control / Rescue District,fire_station,26.3380325,-81.7793511
Southern Manatee Fire Depratment,fire_station,27.4333216,-82.5445713
Tavernier Volunteer Fire / Ambulance Department,fire_station,25.0182354,-80.5112166
Spring Hill Rescue District,fire_station,28.485665,-82.5756904
Captiva Fire Control District Stn 181,fire_station,26.52279,-82.1894282
Midway Combo Station 30,fire_station,28.0386014,-82.072085
Melbourne Fire Station 71,fire_station,28.1286448,-80.6328658
Levy County EMS Station Number 2,fire_station,29.4783333,-82.8611111
Putnam County EMS Rescue Unit 7,fire_station,29.6276376,-82.0292043
Union County EMS/Fire Station 3,fire_station,29.9297222,-82.4233333
Citrus Springs Volunteer Fire Department,fire_station,29.001836,-82.4665
Dunnellon Fire Department,fire_station,29.0494204,-82.4620443
Marion County Fire and Rescue Unit 22,fire_station,29.0977527,-82.4512114
Cross Creek Fire Station,fire_station,29.4769153,-82.1589848
Leesburg Fire Department Station 2,fire_station,28.8288889,-81.8952778
Fruitland Park Fire and Rescue Station,fire_station,28.8588889,-81.9127778
Marion County Fire Rescue Unit Number 20,fire_station,29.2252527,-82.2356517
Morriston-Montbrook Volunteer Fire Department,fire_station,29.282749,-82.4412138
Rainbow Lakes Estates Volunteer Fire Station Number 14,fire_station,29.1499734,-82.482602
Floral City Fire Department,fire_station,28.7497836,-82.2950269
Weston Fire Station,fire_station,26.0929118,-80.3817339
Highlands Fire Dept. Fire/Rescue Station 81,fire_station,28.7986111,-82.34
Gospel Island Volunteer Fire Department,fire_station,28.8497222,-82.2697222
Lake County Fire/Rescue Fire Station 71,fire_station,28.8419444,-81.7697222
North Miami East Fire Station,fire_station,25.8955556,-80.1666667
Perrine Fire Station,fire_station,25.6033333,-80.3497222
Saga Bay Fire Station,fire_station,25.8108333,-80.3488889
Honey Hill Fire Station,fire_station,25.9536111,-80.28
Miramar Fire Station,fire_station,25.9808333,-80.2211111
Miramar Fire Station,fire_station,25.9652778,-80.3383333
Lake County Fire Department District 6 Station 1,fire_station,28.9197076,-81.9253605
Lake County Fire-Rescue Station No 62,fire_station,28.8763759,-81.9114708
Yankeetown Fire Department,fire_station,29.0296951,-82.7164952
Fire Station No 16,fire_station,27.86255,-82.3236725
Fire Station 43 VPSD,fire_station,28.9484632,-81.9513664
Citrus County Fire Rescue Station 5,fire_station,28.9006903,-82.3733776
Marion County Fire and Rescue Station Number 9,fire_station,29.4260826,-82.2173198
Ocala Fire Station Number 2,fire_station,29.1622899,-82.0843585
Royal Volunteer Fire Station,fire_station,28.8966512,-82.0942541
Beverly Hills Volunteer Fire Station,fire_station,28.9180354,-82.4678762
Ocala Fire Station Number 4,fire_station,29.1675667,-82.1784805
Marion County Fire-Rescue Station Number 18,fire_station,29.0585911,-82.0536991
Marion County Fire-Rescue Station Number 21,fire_station,29.0915458,-82.2501484
Marion County Fire-Rescue Station Number 16,fire_station,29.1158114,-82.1356469
Anthony Volunteer Fire Department,fire_station,29.2896966,-82.1084254
Marion County Fire and Rescue Station Number 19,fire_station,29.3433647,-82.1122206
Marion County Fire-Rescue Station Number 17,fire_station,29.1097708,-82.0149167
Marion County Fire-Rescue Station Number 11,fire_station,29.3269178,-82.197318
Marion County Fire-Rescue Station Number 27,fire_station,28.9844275,-81.9375837
Sumter County Fire-Rescue Station Number 31,fire_station,28.8613752,-82.0398076
Coleman Fire Department,fire_station,28.8010992,-82.0689745
Marion County Fire-Rescue Station Number 24,fire_station,29.0083131,-82.1970367
Marion County Fire-Rescue Station Number 10,fire_station,28.981649,-82.0170306
Ocala Fire Station Number 5,fire_station,29.2110872,-82.1034244
Fire Station Number 49,fire_station,26.1105556,-80.1061111
Fire Station Number 46,fire_station,26.1391667,-80.1544444
Fire Station Number 55,fire_station,26.3552778,-80.1502778
Fire Station Number 57,fire_station,26.3547222,-80.1916667
Fire Station Number 63,fire_station,26.8091667,-80.1175
Fire Station Number 59,fire_station,26.3794444,-80.1630556
Dania Fire Station,fire_station,26.0522222,-80.1452778
Davie Fire Station,fire_station,26.1041379,-80.3573429
Bunche Park Fire Station,fire_station,25.9136111,-80.2447222
Gainesville Fire Station Number 4,fire_station,29.65146,-82.3769216
Alachua County Fire Rescue Station 12,fire_station,29.6388889,-82.2727778
Airport North Side Fire Station,fire_station,25.8075,-80.2888889
Alachua County Fire Rescue Station 19,fire_station,29.6357468,-82.3896402
Alachua County Fire Rescue Station 15,fire_station,29.6677778,-82.4363889
Alachua County Fire/Rescue Station 17,fire_station,29.6859267,-82.4947363
City of Gainesville Fire Station 7,fire_station,29.7064099,-82.388104
Gainesville Fire Station Number 3,fire_station,29.6599767,-82.3067242
Alachua County Fire Rescue Headquarters,fire_station,29.6433333,-82.3194444
Hollywood Fire Station,fire_station,26.0108333,-80.1772222
Hollywood Fire Station,fire_station,26.0127778,-80.1477778
Hallandale Fire Station,fire_station,25.98,-80.1438889
Hallandale Fire Station,fire_station,25.9863738,-80.1187441
Fire Station Number 79,fire_station,26.0146207,-80.4358302
Fire Station Number 16,fire_station,26.1563889,-80.1394444
Fire Station Number 17,fire_station,26.798092,-80.1369407
Fire Station Number 23,fire_station,26.7083196,-80.1268348
Fire Station Number 28,fire_station,26.69,-80.2302778
Fire Station Number 29,fire_station,26.1486111,-80.1202778
Fire Station Number 36,fire_station,26.6375,-80.1141667
Fort Lauderdale Fire / Rescue Station 35,fire_station,26.1894474,-80.1198075
Fire Station Number 46,fire_station,26.5641463,-80.1460546
Riviera Beach Fire / Rescue Station 1,fire_station,26.7832914,-80.0660231
Old Fire Station,fire_station,25.9813606,-80.1495543
Lake Park Fire Department,fire_station,26.7986773,-80.0741456
North Palm Beach Fire Department Station 67,fire_station,26.8122538,-80.0561467
Boca Raton Fire / Rescue Station 8,fire_station,26.3296454,-80.0938028
Hollywood Fire / Rescue Station 45,fire_station,26.0259556,-80.2166099
Pompano Beach Fire Prevention,fire_station,26.2308586,-80.1248428
Lauderhill Fire Department,fire_station,26.188007,-80.2551761
Hallandale Beach Fire / Rescue Station 60,fire_station,25.9863544,-80.1186021
Hallandale Fire / Rescue Station 90,fire_station,25.9877058,-80.1264408
Margate Fire / Rescue Station 18,fire_station,26.2412874,-80.2058499
Fort Lauderdale Fire / Rescue Station 29,fire_station,26.1486131,-80.1203522
Plantation Fire Station #2,fire_station,26.1286219,-80.2362533
Miami Dade Fire / Rescue,fire_station,25.8102237,-80.3485901
South Florida Fire Fighters,fire_station,25.9048435,-80.3171737
Hollywood Fire / Rescue Station 31,fire_station,26.0110287,-80.1775003
Coral Gables Fire Department Station 1,fire_station,25.7458691,-80.2603962
Delray Beach Fire / Rescue Station 1,fire_station,26.4621322,-80.0786369
Oakland Park Fire Department,fire_station,26.1737576,-80.1713513
Hialeah Fire Department Station 1,fire_station,25.8267032,-80.2799625
Hernando County Fire Rescue Station 23,fire_station,28.6369444,-82.3377778
Citrus County Fire Station 51,fire_station,28.735,-82.3030556
Hernando County Fire Station 13,fire_station,28.6138889,-82.4736111
Citrus County Fire Rescue Station 82,fire_station,28.7222222,-82.3608333
Tri County Volunteer Fire Department,fire_station,28.6455556,-82.2655556
Hernando County Fire Station 22,fire_station,28.5175,-82.2063889
